#trial,date,genderA1,genderA2,handednessA1,handednessA2,ageA1,ageA2,knowechother,comment
001,2024-04-10,f,m,l,r,19,20,y,
002,2024-04-15,m,f,r,r,22,22,y,
003,2024-04-16,m,m,l,r,22,20,y,
004,2024-04-18,m,f,r,r,22,22,y,
005,2024-04-24,m,f,r,r,21,21,y,
006,2024-04-25,f,f,r,r,23,23,n,
007,2024-04-25,m,m,r,r,,,y,26and22
008,2024-05-06,f,m,r,r,,,,
009,2024-05-06,f,m,r,r,,,,
010,2024-05-06,m,f,r,r,,,,
011,2024-05-07,,,,,,,,
012,2024-05-07,,,,,,,,
013,2024-05-08,f,f,r,r,,,,
014,2024-05-08,f,f,r,r,,,,
015,2024-05-08,f,f,r,r,,,,
016,2024-05-08,f,f,r,r,19,18,y,
017,2024-05-09,f,f,r,r,,,,
018,2024-05-09,f,f,r,r,,,,
019,2024-05-10,f,f,r,r,,,,
020,2024-05-10,f,f,r,r,,,,
021,2024-05-10,f,f,r,l,,,,
022,2024-05-13,f,f,r,r,,,,
023,2024-05-13,f,f,r,r,,,,
024,2024-05-13,f,f,r,r,,,,
025,2024-05-13,f,m,r,r,,,,
026,2024-05-13,f,f,r,l,,,,
027,2024-05-14,f,f,r,r,,,,
028,2024-05-14,f,f,l,r,,,,
029,2024-05-14,f,f,r,r,,,,
030,2024-05-15,f,f,r,r,,,,
031,2024-05-15,f,f,r,r,,,,
032,2024-05-15,f,f,r,r,,,,
033,2024-05-15,f,f,r,r,,,,
034,2024-05-16,f,f,r,r,,,,
035,2024-05-16,f,f,r,r,,,,
036,2024-05-16,f,f,l,r,,,,
037,2024-05-16,m,m,r,r,,,,
039,2024-05-17,f,f,l,r,,,,
040,2024-05-17,f,f,l,r,,,,
041,2024-05-20,f,m,r,r,,,,
042,2024-05-21,f,f,r,r,,,,
043,2024-05-21,f,f,r,r,,,,
044,2024-05-22,f,f,r,r,,,,
045,2024-05-22,m,f,r,r,,,,
046,2024-05-24,f,f,r,r,,,,
047,2024-05-24,f,f,r,r,,,,
048,2024-05-27,f,f,r,r,,,,
049,2024-05-27,f,f,r,r,,,,
050,2024-05-28,f,f,r,r,,,,
051,2024-05-31,f,f,r,r,,,,
#052,2024-05-31,f,f,,,,,,
